REF_DATE,VALUE
1950-01-01,4081000.0
1950-02-01,3780000.0
1950-03-01,4186000.0
1950-04-01,4070000.0
1950-05-01,4425000.0
1950-06-01,4313000.0
1950-07-01,4201000.0
1950-08-01,4199000.0
1950-09-01,4121000.0
1950-10-01,4395000.0
1950-11-01,4458000.0
1950-12-01,4674000.0
1951-01-01,4786000.0
1951-02-01,4378000.0
1951-03-01,4912000.0
1951-04-01,4897000.0
1951-05-01,5132000.0
1951-06-01,4709000.0
1951-07-01,4630000.0
1951-08-01,4597000.0
1951-09-01,4406000.0
1951-10-01,4921000.0
1951-11-01,4938000.0
1951-12-01,5113000.0
1952-01-01,5269000.0
1952-02-01,4970000.0
1952-03-01,5218000.0
1952-04-01,5030000.0
1952-05-01,5335000.0
1952-06-01,4986000.0
1952-07-01,4841000.0
1952-08-01,4968000.0
1952-09-01,4993000.0
1952-10-01,5419000.0
1952-11-01,5221000.0
1952-12-01,5536000.0
1953-01-01,5657000.0
1953-02-01,5255000.0
1953-03-01,5780000.0
1953-04-01,5742000.0
1953-05-01,5758000.0
1953-06-01,5265000.0
1953-07-01,5181000.0
1953-08-01,5089000.0
1953-09-01,5089000.0
1953-10-01,5510000.0
1953-11-01,5448000.0
1953-12-01,5718000.0
1954-01-01,5633000.0
1954-02-01,5152000.0
1954-03-01,5766000.0
1954-04-01,5653000.0
1954-05-01,5929000.0
1954-06-01,5675000.0
1954-07-01,5478000.0
1954-08-01,5447000.0
1954-09-01,5510000.0
1954-10-01,6131000.0
1954-11-01,6206000.0
1954-12-01,6556000.0
1955-01-01,6547000.0
1955-02-01,5973000.0
1955-03-01,6635000.0
1955-04-01,6363000.0
1955-05-01,6640000.0
1955-06-01,6090000.0
1955-07-01,5903000.0
1955-08-01,6052000.0
1955-09-01,6002000.0
1955-10-01,6431000.0
1955-11-01,6760000.0
1955-12-01,6900000.0
1956-01-01,6507000.0
1956-02-01,6179000.0
1956-03-01,6486000.0
1956-04-01,6348000.0
1956-05-01,6896000.0
1956-06-01,6723000.0
1956-07-01,6673000.0
1956-08-01,6854000.0
1956-09-01,6887000.0
1956-10-01,7533000.0
1956-11-01,7199000.0
1956-12-01,7404000.0
1957-01-01,8071000.0
1957-02-01,7279000.0
1957-03-01,7776000.0
1957-04-01,7478000.0
1957-05-01,7563000.0
1957-06-01,6752000.0
1957-07-01,7099000.0
1957-08-01,6879000.0
1957-09-01,6921000.0
1957-10-01,8030000.0
1957-11-01,8175000.0
1957-12-01,8225000.0
1958-01-01,8564000.0
1958-02-01,7796000.0
1958-03-01,8487000.0
1958-04-01,7950000.0
1958-05-01,7968000.0
1958-06-01,7466000.0
1958-07-01,7666000.0
1958-08-01,7579000.0
1958-09-01,7617000.0
1958-10-01,8344000.0
1958-11-01,8464000.0
1958-12-01,8843000.0
1959-01-01,8777000.0
1959-02-01,8098000.0
1959-03-01,8814000.0
1959-04-01,8611000.0
1959-05-01,8739000.0
1959-06-01,8291000.0
1959-07-01,8086000.0
1959-08-01,8109000.0
1959-09-01,8220000.0
1959-10-01,9033000.0
1959-11-01,9327000.0
1959-12-01,9750000.0
1960-01-01,9889000.0
1960-02-01,9444000.0
1960-03-01,10071000.0
1960-04-01,9411000.0
1960-05-01,9368000.0
1960-06-01,9135000.0
1960-07-01,9057000.0
1960-08-01,9326000.0
1960-09-01,9256000.0
1960-10-01,9578000.0
1960-11-01,9591000.0
1960-12-01,9914000.0
1961-01-01,9989000.0
1961-02-01,9018000.0
1961-03-01,9867000.0
1961-04-01,9419000.0
1961-05-01,9689000.0
1961-06-01,8906000.0
1961-07-01,8643000.0
1961-08-01,8833000.0
1961-09-01,8993000.0
1961-10-01,9737000.0
1961-11-01,9846000.0
1961-12-01,10279000.0
1962-01-01,10604000.0
1962-02-01,9632000.0
1962-03-01,10311000.0
1962-04-01,9693000.0
1962-05-01,10005000.0
1962-06-01,9334000.0
1962-07-01,9012000.0
1962-08-01,9260000.0
1962-09-01,9064000.0
1962-10-01,9882000.0
1962-11-01,10016000.0
1962-12-01,10188000.0
1963-01-01,10698000.0
1963-02-01,9651000.0
1963-03-01,10321000.0
1963-04-01,9877000.0
1963-05-01,10177000.0
1963-06-01,9454000.0
1963-07-01,9447000.0
1963-08-01,9749000.0
1963-09-01,9723000.0
1963-10-01,10357000.0
1963-11-01,10687000.0
1963-12-01,11410000.0
1964-01-01,11675000.0
1964-02-01,10856000.0
1964-03-01,11356000.0
1964-04-01,10839000.0
1964-05-01,10732000.0
1964-06-01,10452000.0
1964-07-01,10632000.0
1964-08-01,10706000.0
1964-09-01,10847000.0
1964-10-01,11782000.0
1964-11-01,11872000.0
1964-12-01,12543000.0
1965-01-01,12608000.0
1965-02-01,11484000.0
1965-03-01,12403000.0
1965-04-01,11439000.0
1965-05-01,11365000.0
1965-06-01,10770000.0
1965-07-01,10830000.0
1965-08-01,11454000.0
1965-09-01,11578000.0
1965-10-01,12568000.0
1965-11-01,12986000.0
1965-12-01,13675000.0
1966-01-01,13945000.0
1966-02-01,12594000.0
1966-03-01,13597000.0
1966-04-01,12554000.0
1966-05-01,12798000.0
1966-06-01,12234000.0
1966-07-01,11807000.0
1966-08-01,12638000.0
1966-09-01,12600000.0
1966-10-01,13597000.0
1966-11-01,14114000.0
1966-12-01,14907000.0
1967-01-01,14935000.0
1967-02-01,13734000.0
1967-03-01,14553000.0
1967-04-01,13364000.0
1967-05-01,13494000.0
1967-06-01,12702000.0
1967-07-01,12448000.0
1967-08-01,12968000.0
1967-09-01,12664000.0
1967-10-01,13958000.0
1967-11-01,14656000.0
1967-12-01,15310000.0
1968-01-01,16012000.0
1968-02-01,14913000.0
1968-03-01,14908000.0
1968-04-01,14034000.0
1968-05-01,14059000.0
1968-06-01,13302000.0
1968-07-01,13452000.0
1968-08-01,13750000.0
1968-09-01,13669000.0
1968-10-01,15047000.0
1968-11-01,15466000.0
1968-12-01,16761000.0
1969-01-01,17278000.0
1969-02-01,15464000.0
1969-03-01,16571000.0
1969-04-01,15406000.0
1969-05-01,15488000.0
1969-06-01,14534000.0
1969-07-01,14495000.0
1969-08-01,14877000.0
1969-09-01,15031000.0
1969-10-01,16261000.0
1969-11-01,16635000.0
1969-12-01,17972000.0
1970-01-01,18869000.0
1970-02-01,16924000.0
1970-03-01,17870000.0
1970-04-01,16699000.0
1970-05-01,16444000.0
1970-06-01,15775000.0
1970-07-01,15680000.0
1970-08-01,15710000.0
1970-09-01,15744000.0
1970-10-01,17025000.0
1970-11-01,17493000.0
1970-12-01,19466000.0
1971-01-01,19888000.0
1971-02-01,17819000.0
1971-03-01,19131000.0
1971-04-01,17229000.0
1971-05-01,17133000.0
1971-06-01,16431000.0
1971-07-01,16087000.0
1971-08-01,16749000.0
1971-09-01,16885000.0
1971-10-01,18241000.0
1971-11-01,18945000.0
1971-12-01,20590000.0
1972-01-01,21165000.0
1972-02-01,20142000.0
1972-03-01,20725000.0
1972-04-01,18926000.0
1972-05-01,19175000.0
1972-06-01,18319000.0
1972-07-01,17950000.0
1972-08-01,18302000.0
1972-09-01,18440000.0
1972-10-01,20620000.0
1972-11-01,21384000.0
1972-12-01,22479000.0
1973-01-01,23819000.0
1973-02-01,21971000.0
1973-03-01,23065000.0
1973-04-01,21046000.0
1973-05-01,21026000.0
1973-06-01,20486000.0
1973-07-01,20688000.0
1973-08-01,20608000.0
1973-09-01,19674000.0
1973-10-01,21699000.0
1973-11-01,23437000.0
1973-12-01,24753000.0
1974-01-01,26301000.0
1974-02-01,23733000.0
1974-03-01,25638000.0
1974-04-01,22801000.0
1974-05-01,22582000.0
1974-06-01,20943000.0
1974-07-01,21329000.0
1974-08-01,21770000.0
1974-09-01,21168000.0
1974-10-01,23628000.0
1974-11-01,23841000.0
1974-12-01,25455000.0
1975-01-01,26579000.0
1975-02-01,23853000.0
1975-03-01,24950000.0
1975-04-01,22802000.0
1975-05-01,21377000.0
1975-06-01,20390000.0
1975-07-01,20267000.0
1975-08-01,20685000.0
1975-09-01,20400000.0
1975-10-01,22201000.0
1975-11-01,22941000.0
1975-12-01,26207000.0
1976-01-01,27549000.0
1976-02-01,25061000.0
1976-03-01,26839000.0
1976-04-01,23552000.0
1976-05-01,23525000.0
1976-06-01,22185000.0
1976-07-01,21200000.0
1976-08-01,21671000.0
1976-09-01,21561000.0
1976-10-01,24616000.0
1976-11-01,26138000.0
1976-12-01,29467000.0
1977-01-01,30864963.0
1977-02-01,26614955.0
1977-03-01,27502960.0
1977-04-01,25075046.0
1977-05-01,24200986.0
1977-06-01,23277124.0
1977-07-01,23835750.0
1977-08-01,24459653.0
1977-09-01,23625967.0
1977-10-01,26596192.0
1977-11-01,28388125.0
1977-12-01,32338871.0
1978-01-01,33375900.0
1978-02-01,30268305.0
1978-03-01,30782662.0
1978-04-01,26464166.0
1978-05-01,25208169.0
1978-06-01,24142298.0
