REF_DATE,VALUE
1981-01-01,38.8
1981-02-01,39.1
1981-03-01,39.1
1981-04-01,39.0
1981-05-01,39.3
1981-06-01,39.3
1981-07-01,39.3
1981-08-01,39.3
1981-09-01,39.3
1981-10-01,39.8
1981-11-01,39.9
1981-12-01,39.9
1982-01-01,43.4
1982-02-01,44.2
1982-03-01,44.2
1982-04-01,44.4
1982-05-01,44.4
1982-06-01,44.4
1982-07-01,44.4
1982-08-01,44.5
1982-09-01,44.2
1982-10-01,44.2
1982-11-01,44.2
1982-12-01,44.2
1983-01-01,46.6
1983-02-01,46.9
1983-03-01,46.9
1983-04-01,47.2
1983-05-01,47.4
1983-06-01,47.4
1983-07-01,47.5
1983-08-01,47.5
1983-09-01,47.5
1983-10-01,47.6
1983-11-01,47.8
1983-12-01,47.9
1984-01-01,49.1
1984-02-01,49.9
1984-03-01,49.9
1984-04-01,50.4
1984-05-01,50.4
1984-06-01,50.2
1984-07-01,50.2
1984-08-01,50.5
1984-09-01,50.5
1984-10-01,50.5
1984-11-01,50.6
1984-12-01,50.7
1985-01-01,52.1
1985-02-01,52.2
1985-03-01,52.2
1985-04-01,52.5
1985-05-01,52.9
1985-06-01,52.7
1985-07-01,52.6
1985-08-01,52.6
1985-09-01,52.6
1985-10-01,52.6
1985-11-01,52.6
1985-12-01,52.7
1986-01-01,53.4
1986-02-01,53.6
1986-03-01,53.3
1986-04-01,53.4
1986-05-01,54.3
1986-06-01,54.3
1986-07-01,54.3
1986-08-01,54.3
1986-09-01,54.3
1986-10-01,54.5
1986-11-01,54.6
1986-12-01,54.6
1987-01-01,55.6
1987-02-01,55.8
1987-03-01,55.8
1987-04-01,56.0
1987-05-01,56.8
1987-06-01,56.8
1987-07-01,56.7
1987-08-01,56.6
1987-09-01,56.7
1987-10-01,56.7
1987-11-01,56.7
1987-12-01,56.7
1988-01-01,57.8
1988-02-01,57.9
1988-03-01,57.9
1988-04-01,58.1
1988-05-01,58.9
1988-06-01,58.9
1988-07-01,58.9
1988-08-01,58.9
1988-09-01,59.1
1988-10-01,59.1
1988-11-01,59.1
1988-12-01,58.9
1989-01-01,60.1
1989-02-01,60.1
1989-03-01,60.1
1989-04-01,60.3
1989-05-01,61.2
1989-06-01,61.2
1989-07-01,61.2
1989-08-01,61.2
1989-09-01,61.2
1989-10-01,61.2
1989-11-01,61.3
1989-12-01,61.3
1990-01-01,62.8
1990-02-01,62.8
1990-03-01,62.8
1990-04-01,63.2
1990-05-01,64.8
1990-06-01,64.8
1990-07-01,64.8
1990-08-01,64.8
1990-09-01,64.9
1990-10-01,64.6
1990-11-01,64.5
1990-12-01,64.5
1991-01-01,66.8
1991-02-01,66.8
1991-03-01,66.8
1991-04-01,67.3
1991-05-01,68.9
1991-06-01,69.2
1991-07-01,69.2
1991-08-01,69.2
1991-09-01,69.2
1991-10-01,69.2
1991-11-01,69.2
1991-12-01,69.2
1992-01-01,72.2
1992-02-01,72.2
1992-03-01,72.3
1992-04-01,72.5
1992-05-01,73.3
1992-06-01,73.3
1992-07-01,73.4
1992-08-01,73.6
1992-09-01,73.6
1992-10-01,73.7
1992-11-01,73.7
1992-12-01,73.7
1993-01-01,75.6
1993-02-01,75.5
1993-03-01,75.6
1993-04-01,76.0
1993-05-01,76.3
1993-06-01,76.3
1993-07-01,76.3
1993-08-01,76.3
1993-09-01,76.3
1993-10-01,76.3
1993-11-01,76.3
1993-12-01,76.3
1994-01-01,76.0
1994-02-01,76.1
1994-03-01,76.3
1994-04-01,76.5
1994-05-01,76.7
1994-06-01,76.7
1994-07-01,76.7
1994-08-01,76.7
1994-09-01,76.7
1994-10-01,76.8
1994-11-01,76.8
1994-12-01,76.8
1995-01-01,76.4
1995-02-01,76.4
1995-03-01,76.5
1995-04-01,76.6
1995-05-01,76.7
1995-06-01,76.7
1995-07-01,76.7
1995-08-01,76.7
1995-09-01,76.7
1995-10-01,76.7
1995-11-01,76.7
1995-12-01,76.8
1996-01-01,76.7
1996-02-01,76.7
1996-03-01,76.8
