REF_DATE,GEO,Index,UOM,VALUE
2007-01-01,Canada,"Electric power selling price indexes, national total","Index, 2009=100",99.9
2007-02-01,Canada,"Electric power selling price indexes, national total","Index, 2009=100",100.6
2007-03-01,Canada,"Electric power selling price indexes, national total","Index, 2009=100",101.7
2007-04-01,Canada,"Electric power selling price indexes, national total","Index, 2009=100",98.9
2007-05-01,Canada,"Electric power selling price indexes, national total","Index, 2009=100",96.1
2007-06-01,Canada,"Electric power selling price indexes, national total","Index, 2009=100",99.4
2007-07-01,Canada,"Electric power selling price indexes, national total","Index, 2009=100",101.1
2007-08-01,Canada,"Electric power selling price indexes, national total","Index, 2009=100",106.3
2007-09-01,Canada,"Electric power selling price indexes, national total","Index, 2009=100",103.9
2007-10-01,Canada,"Electric power selling price indexes, national total","Index, 2009=100",102.9
2007-11-01,Canada,"Electric power selling price indexes, national total","Index, 2009=100",101.5
2007-12-01,Canada,"Electric power selling price indexes, national total","Index, 2009=100",102.9
